company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Kaya Skin Clinic,4.0,370,8,16,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
Fenesta Building Systems,4.0,370,--,24,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Capital Foods,4.1,370,--,28,"Salary & Benefits, Work Life Balance, Work Satisfaction",
Axa XL,3.7,370,89,33,"Job Security, Work Life Balance","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
ITI,3.7,369,--,32,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Salary & Benefits
Annalect,3.5,369,--,59,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Usha Martin,4.2,369,--,17,"Job Security, Work Life Balance, Skill Development / Learning",
Macquarie Group,3.3,369,--,40,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Plastic Omnium,3.8,368,2,23,,Promotions / Appraisal
Alpla,4.0,368,14,24,"Job Security, Skill Development / Learning, Company Culture",
CWT,4.0,368,--,5,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
C5i,4.0,368,18,42,"Job Security, Company Culture, Work Life Balance",
Stellantis,3.4,368,--,44,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Keysight Technologies,4.0,367,--,28,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Metalman Auto,4.1,367,7,17,"Job Security, Company Culture, Skill Development / Learning",
Polestar Solutions & Services India,4.3,367,8,17,"Skill Development / Learning, Company Culture, Job Security",
Myk Laticrete,4.1,367,21,16,"Job Security, Salary & Benefits, Skill Development / Learning",
Muthoottu Mini Financiers,3.8,367,2,17,,"Promotions / Appraisal, Salary & Benefits"
Addverb Technologies,3.9,367,25,52,"Salary & Benefits, Skill Development / Learning, Company Culture",
Nspira Management Services,3.7,367,5,23,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
BCG,3.8,367,18,186,"Salary & Benefits, Skill Development / Learning","Work Life Balance, Promotions / Appraisal"
Solv,3.7,366,--,32,Salary & Benefits,"Job Security, Work Satisfaction, Promotions / Appraisal"
Wabtec,4.0,366,--,39,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Utkarsh Classes,4.5,366,19,8,"Company Culture, Skill Development / Learning, Work Satisfaction",
TransUnion,3.9,366,68,82,"Company Culture, Work Life Balance, Salary & Benefits",
Mahanagar Gas,4.3,365,3,27,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Exicom,3.9,365,7,34,Work Life Balance,Promotions / Appraisal
Bada Business,3.6,365,7,23,,"Job Security, Promotions / Appraisal, Work Life Balance"
Nash Industries,3.6,365,7,27,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Chemplast Sanmar,3.6,364,14,34,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits"
Markets and Markets,3.3,364,6,46,,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal"
Honeywell International India,4.0,364,211,31,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
MagicPin,3.1,364,23,47,,"Job Security, Work Life Balance, Work Satisfaction"
Aker Solutions,4.0,364,6,32,"Work Life Balance, Company Culture",Promotions / Appraisal
APL Apollo Tubes,3.9,364,4,24,,Promotions / Appraisal
Honeywell International India,4.0,364,211,31,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Markets and Markets,3.3,364,6,46,,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal"
Pierian Services,4.0,364,7,26,"Job Security, Work Life Balance, Skill Development / Learning",
Franchise India Brands,2.1,363,18,20,,"Job Security, Company Culture, Work Satisfaction"
Aptech,3.6,363,--,21,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Udaan India - The Original Visa Company,4.2,363,--,23,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",Job Security
Par Pharmaceutical Companies,4.3,363,2,23,"Salary & Benefits, Work Life Balance, Company Culture",
Zudio,4.0,363,--,28,"Job Security, Skill Development / Learning, Salary & Benefits",
5paisa Capital Ltd.,3.9,362,1,30,"Company Culture, Salary & Benefits, Skill Development / Learning",
Pearson Education India,4.0,362,22,7,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Hexagon Nutrition,3.9,362,3,11,Skill Development / Learning,
Action Tesa,3.8,362,1,28,Job Security,Promotions / Appraisal
JBS Enterprises,3.2,362,1,25,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
SPAR Hypermarkets,4.1,362,1,14,"Job Security, Company Culture, Salary & Benefits",
Bridgestone India Automotive Products,4.2,362,1,23,"Job Security, Work Life Balance, Company Culture",
Flamingo Pharmaceuticals,3.2,361,35,25,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Harman Finochem,3.5,361,20,27,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Star Bazaar,4.2,361,--,15,"Job Security, Company Culture, Work Life Balance",
Mars International India,4.3,361,12,15,"Company Culture, Salary & Benefits, Skill Development / Learning",
Venky's,3.8,361,--,16,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Self Practice,4.4,360,--,57,"Skill Development / Learning, Work Satisfaction, Work Life Balance",
JoulestoWatts Business Solutions,2.9,360,9,21,,"Job Security, Promotions / Appraisal, Company Culture"
Maxop Engineering Co.,4.1,360,3,32,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",
ABCI Infrastructures,3.5,360,--,48,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Lido Learning,2.3,360,--,63,,"Job Security, Company Culture, Work Satisfaction"
Alankit,3.3,360,5,24,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Protiviti,3.3,360,68,50,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Safari Industries India,4.1,359,7,18,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Mahendra NextWealth IT,3.8,359,--,11,Job Security,"Salary & Benefits, Promotions / Appraisal"
Teradata,3.9,359,14,48,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Expertrons,4.0,359,5,38,"Skill Development / Learning, Company Culture, Salary & Benefits",
ARMSOFTECH.AIR,3.4,359,--,22,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
SABIC,4.2,359,4,26,"Work Life Balance, Company Culture, Job Security",
Moser Baer,4.3,358,--,7,"Company Culture, Skill Development / Learning, Work Life Balance",
HBL Global,3.9,358,--,8,"Skill Development / Learning, Job Security, Company Culture",
Corporate Infotech,3.9,358,5,22,"Work Life Balance, Company Culture",Promotions / Appraisal
B. Braun Medical,4.0,358,--,18,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Morepen Laboratories,3.8,358,40,20,Job Security,Promotions / Appraisal
Fynd,3.6,358,3,48,Salary & Benefits,Job Security
Schoolnet India,3.8,358,7,13,"Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits"
QSpiders,3.7,358,--,64,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Laxmi Organic Industries,4.2,358,6,26,"Job Security, Skill Development / Learning, Company Culture",
CommScope,3.7,357,8,32,Work Life Balance,Promotions / Appraisal
Visaka Industries,4.0,357,7,25,"Job Security, Work Life Balance",
TTK Healthcare,4.2,357,--,12,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Jumbotail Technologies,3.7,356,--,32,,"Promotions / Appraisal, Job Security, Work Life Balance"
Mikuni,4.2,356,--,20,"Job Security, Work Life Balance, Company Culture",
Insolutions Global,3.7,356,8,24,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Akamai Technologies,4.4,356,33,57,"Work Life Balance, Company Culture, Salary & Benefits",
Bhilosa Industries,3.8,356,5,22,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
St. Xavier's High School,4.0,356,--,14,Skill Development / Learning,
Penna Cement Industries,4.2,355,--,11,"Job Security, Work Life Balance, Work Satisfaction",
Sanmina Sci,4.1,355,--,26,"Skill Development / Learning, Work Satisfaction, Job Security",Promotions / Appraisal
Medica Superspecialty Hospital,3.7,355,16,16,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Titan Engineering & Automation,4.0,355,--,30,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Work Life Balance"
BYJU'S Exam Prep,3.8,354,--,22,Company Culture,Job Security
LendingKart,3.2,354,8,28,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Ingersoll Rand,4.2,354,20,26,"Work Life Balance, Company Culture, Work Satisfaction",
Sanghi Industries,3.6,354,--,40,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Bajaj Consumer Care,4.0,354,--,23,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
HashedIn by Deloitte,4.2,354,5,115,"Job Security, Company Culture, Skill Development / Learning",
Havmor Ice Cream,4.3,354,5,18,"Work Life Balance, Job Security, Work Satisfaction",
Wow Momo Foods,3.6,354,6,34,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
African Industries,4.1,353,15,19,"Job Security, Salary & Benefits, Work Life Balance",
Allegis Group,3.7,353,14,19,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
SunTec Web Services,3.3,353,7,29,,"Promotions / Appraisal, Salary & Benefits, Job Security"
RPG Life Sciences,4.1,353,2,14,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Magma HDI General Insurance,3.8,353,--,23,,Promotions / Appraisal
Jindal Aluminium,3.8,353,7,39,Salary & Benefits,
Eurokids,4.1,352,1,13,"Skill Development / Learning, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
ArisGlobal,2.8,352,5,36,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Supertech,3.9,352,--,15,,Promotions / Appraisal
SOLAR INDUSTRIES INDIA,3.7,352,--,42,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Paharpur Cooling Towers,4.1,352,--,19,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
Grindwell Norton,4.1,352,--,25,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Communications Test Design,3.7,352,5,20,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Online Legal India,4.7,351,--,6,"Skill Development / Learning, Work Life Balance, Company Culture",
Vcare Trichology,3.7,351,7,22,,Promotions / Appraisal
Dana India,4.1,351,--,23,"Company Culture, Skill Development / Learning, Job Security",
Matrimonialsindia,4.9,351,--,2,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
ZaranTech,1.4,351,1,1,,"Company Culture, Skill Development / Learning, Job Security"
Infosys Consulting,3.4,350,--,162,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ICFAI University,3.8,350,--,21,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Brigade Group,4.2,350,14,31,"Job Security, Skill Development / Learning, Company Culture",
Thought Focus,3.6,350,17,35,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Kataria Automobiles,3.8,350,3,14,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Hamdard,4.1,350,--,25,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal
Invesco,3.9,350,27,37,"Work Life Balance, Company Culture",Promotions / Appraisal
MAHLE Behr India,3.8,349,4,9,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Indian Bank,3.4,349,--,18,Job Security,"Work Life Balance, Company Culture, Work Satisfaction"
Mindsprint,3.9,349,13,26,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Oda Class,3.5,349,--,24,,"Job Security, Work Life Balance, Promotions / Appraisal"
Gulf Oil Lubricants,4.1,349,--,21,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
National Bulk Handling Corporation,3.9,349,2,17,"Company Culture, Skill Development / Learning",Promotions / Appraisal
Spaceage Multiproducts,3.8,349,--,--,,"Promotions / Appraisal, Salary & Benefits"
Ramada,4.1,349,--,14,"Work Life Balance, Company Culture, Skill Development / Learning",
NR Switch N Radio Services,3.8,349,21,16,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
ABIS Exports,3.9,348,--,28,,Promotions / Appraisal
FiveS Digital,3.3,348,3,22,,"Promotions / Appraisal, Salary & Benefits, Job Security"
FiveS Digital,3.3,348,3,22,,"Promotions / Appraisal, Salary & Benefits, Job Security"
ABIS Exports,3.9,348,--,28,,Promotions / Appraisal
CMR Green Technologies,3.8,348,8,37,Skill Development / Learning,
Siyaram Silk Mills,3.9,348,7,17,Job Security,"Promotions / Appraisal, Salary & Benefits"
DesignTech Systems,3.4,348,6,37,,"Company Culture, Promotions / Appraisal, Work Satisfaction"
Matrix Business Services,3.5,348,3,31,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Unity Small Finance Bank,4.0,348,15,27,"Work Life Balance, Company Culture, Job Security",
Bharat Bijlee,4.4,348,1,16,"Job Security, Work Life Balance, Company Culture",
Nowfloats Technologies,3.2,348,8,16,,"Promotions / Appraisal, Job Security, Work Satisfaction"
FabHotels,3.0,347,74,30,,"Job Security, Company Culture, Promotions / Appraisal"
Vidal Health Tpa,3.7,347,6,23,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Essar Group,3.8,347,1,27,,"Promotions / Appraisal, Salary & Benefits"
Kirloskar Ferrous Industries,4.0,347,--,20,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Udaan Logistics,4.1,347,--,10,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",Job Security
Volkswagen Group Technology Solution,3.9,347,--,54,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Sheela Foam,4.1,347,--,25,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Yardi Systems,3.8,346,--,62,"Job Security, Work Life Balance","Skill Development / Learning, Promotions / Appraisal, Work Satisfaction"
Ind-Swift Laboratories,3.9,346,4,16,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Liberty General Insurance,3.8,346,--,15,,"Promotions / Appraisal, Work Satisfaction"
Mrs Bector's Food Specialities,4.0,346,--,18,,Promotions / Appraisal
Cosmo Films,3.7,346,3,32,Job Security,Promotions / Appraisal
Western Refrigeration,3.9,346,3,31,"Job Security, Salary & Benefits",
Meghmani Organics,3.8,346,3,39,Job Security,"Promotions / Appraisal, Salary & Benefits"
PC Jewellers,4.0,345,--,12,"Job Security, Work Life Balance, Work Satisfaction",
EID Parry (India),4.2,345,--,15,"Job Security, Company Culture, Skill Development / Learning",
TotalEnergies,3.8,345,1,28,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Johnson Matthey,4.0,345,2,27,"Work Life Balance, Company Culture",Promotions / Appraisal
Techwave Consulting,3.8,345,16,27,Job Security,"Promotions / Appraisal, Salary & Benefits"
Ppap Automotive,3.9,345,--,29,,Promotions / Appraisal
Uplers,4.1,345,125,40,"Work Life Balance, Company Culture, Job Security",
R&R Limousine And Bus,4.1,344,--,--,"Job Security, Company Culture, Work Life Balance",
Allied Blenders & Distillers,4.1,344,3,10,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
ASM Technologies,3.6,344,53,33,,"Promotions / Appraisal, Skill Development / Learning, Job Security"
Eurofins It Solutions,3.1,344,149,54,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Indofil Industries,4.2,344,--,11,"Work Life Balance, Salary & Benefits, Company Culture",
Kalyani Technoforge,4.0,344,--,12,Skill Development / Learning,Promotions / Appraisal
Ge T & D India,4.3,344,--,8,"Company Culture, Work Life Balance, Skill Development / Learning",
Toyota,4.4,343,--,37,"Company Culture, Work Life Balance, Skill Development / Learning",
Sany Heavy Industry,3.9,343,1,27,"Salary & Benefits, Job Security",Promotions / Appraisal
Groupon,3.2,343,--,40,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
VirtusaPolaris,3.8,343,--,18,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Sunwoda,4.2,343,--,28,"Job Security, Company Culture, Salary & Benefits",
Evelyn Learning Systems,3.9,342,--,38,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Job Security"
Ugro Capital,3.7,342,4,28,Salary & Benefits,"Work Satisfaction, Job Security"
GrapplTech,4.8,342,--,9,"Skill Development / Learning, Work Life Balance, Company Culture",
